order_id,date,product,category,region,units,price,discount,marketing_spend,revenue,returned,seasonality_index
ORD-100008,2021-01-01,Aroma Diffuser Mini,Home & Kitchen,Central,4,29.99,0.0,4.88,119.96,0,0.9
ORD-100007,2021-01-01,Phone Case Armor,Electronics,South,2,12.99,0.0,0.64,25.98,0,0.9
ORD-100006,2021-01-01,Running Shoes Flex,Sports & Fitness,North,5,59.99,0.0,0.53,299.95,0,0.9
ORD-100005,2021-01-01,Phone Case Armor,Electronics,East,4,12.99,0.0,1.86,51.96,0,0.9
ORD-100002,2021-01-01,Yoga Mat Pro,Sports & Fitness,West,2,24.99,0.0,7.34,49.98,0,0.9
ORD-100010,2021-01-01,Bluetooth Speaker XS,Electronics,South,2,45.0,0.0,1.25,90.0,0,0.9
ORD-100015,2021-01-01,Leather Wallet Classic,Accessories,East,1,22.5,0.0,0.22,22.5,0,0.9
ORD-100004,2021-01-01,Backpack Urban,Accessories,East,4,33.6,0.2,9.31,134.4,0,0.9
ORD-100001,2021-01-01,Aroma Diffuser Mini,Home & Kitchen,West,3,29.99,0.0,38.8,89.97,0,0.9
ORD-100014,2021-01-01,Sunglasses UV400,Accessories,North,5,16.19,0.1,2.98,80.95,0,0.9
ORD-100013,2021-01-01,Leather Wallet Classic,Accessories,Central,2,18.0,0.2,24.28,36.0,0,0.9
ORD-100009,2021-01-01,Leather Wallet Classic,Accessories,West,3,19.12,0.15,10.35,57.36,0,0.9
ORD-100012,2021-01-01,Sunglasses UV400,Accessories,Central,5,17.99,0.0,10.85,89.95,0,0.9
ORD-100000,2021-01-01,Running Shoes Flex,Sports & Fitness,Central,2,59.99,0.0,2.32,119.98,0,0.9
ORD-100003,2021-01-01,Backpack Urban,Accessories,East,5,42.0,0.0,11.65,210.0,0,0.9
ORD-100016,2021-01-01,Insulated Steel Bottle,Home & Kitchen,East,1,18.99,0.05,31.61,18.99,0,0.9
ORD-100011,2021-01-01,Backpack Urban,Accessories,West,4,35.7,0.15,35.79,142.8,0,0.9
ORD-100023,2021-01-02,Insulated Steel Bottle,Home & Kitchen,North,4,16.99,0.15,32.32,67.96,0,0.9
ORD-100021,2021-01-02,Aroma Diffuser Mini,Home & Kitchen,Central,5,29.99,0.0,36.3,149.95,0,0.9
ORD-100022,2021-01-02,LED Desk Lamp,Electronics,East,5,27.5,0.0,3.08,137.5,0,0.9
ORD-100018,2021-01-02,Insulated Steel Bottle,Home & Kitchen,East,1,19.99,0.0,38.87,19.99,0,0.9
ORD-100024,2021-01-02,Ceramic Knife Set,Home & Kitchen,East,4,31.49,0.1,7.46,125.96,0,0.9
ORD-100026,2021-01-02,Sunglasses UV400,Accessories,North,3,17.99,0.0,32.72,53.97,0,0.9
ORD-100025,2021-01-02,Backpack Urban,Accessories,North,4,42.0,0.0,36.27,168.0,0,0.9
ORD-100020,2021-01-02,Sunglasses UV400,Accessories,North,2,17.99,0.0,4.32,35.98,0,0.9
ORD-100019,2021-01-02,Wireless Earbuds Pro,Electronics,East,5,39.99,0.0,30.84,199.95,0,0.9
ORD-100017,2021-01-02,Running Shoes Flex,Sports & Fitness,East,5,56.99,0.05,25.5,284.95,0,0.9
ORD-100027,2021-01-02,Insulated Steel Bottle,Home & Kitchen,East,3,19.99,0.0,8.88,59.97,0,0.9
ORD-100031,2021-01-03,Wireless Earbuds Pro,Electronics,South,3,39.99,0.0,21.24,119.97,0,0.9
ORD-100032,2021-01-03,Yoga Mat Pro,Sports & Fitness,North,4,24.99,0.0,14.79,99.96,0,0.9
ORD-100029,2021-01-03,Wireless Earbuds Pro,Electronics,North,5,39.99,0.0,1.48,199.95,0,0.9
ORD-100033,2021-01-03,Yoga Mat Pro,Sports & Fitness,East,5,24.99,0.0,25.34,124.95,0,0.9
ORD-100034,2021-01-03,Wireless Earbuds Pro,Electronics,Central,1,39.99,0.0,7.46,39.99,0,0.9
ORD-100039,2021-01-03,Running Shoes Flex,Sports & Fitness,West,4,59.99,0.0,39.29,239.96,0,0.9
ORD-100035,2021-01-03,Insulated Steel Bottle,Home & Kitchen,South,4,19.99,0.0,8.81,79.96,0,0.9
ORD-100042,2021-01-03,Insulated Steel Bottle,Home & Kitchen,North,3,18.99,0.05,35.88,56.97,0,0.9
ORD-100040,2021-01-03,Phone Case Armor,Electronics,West,1,12.99,0.0,3.72,12.99,0,0.9
ORD-100041,2021-01-03,Ceramic Knife Set,Home & Kitchen,North,5,31.49,0.1,7.55,157.45,0,0.9
ORD-100038,2021-01-03,Sunglasses UV400,Accessories,East,2,15.29,0.15,35.09,30.58,0,0.9
ORD-100037,2021-01-03,Wireless Earbuds Pro,Electronics,North,2,35.99,0.1,27.03,71.98,0,0.9
ORD-100036,2021-01-03,Insulated Steel Bottle,Home & Kitchen,North,3,19.99,0.0,3.85,59.97,0,0.9
ORD-100030,2021-01-03,Bluetooth Speaker XS,Electronics,North,2,45.0,0.0,1.32,90.0,0,0.9
ORD-100028,2021-01-03,Backpack Urban,Accessories,East,4,42.0,0.0,27.85,168.0,0,0.9
ORD-100048,2021-01-04,Insulated Steel Bottle,Home & Kitchen,North,3,19.99,0.0,14.0,59.97,0,0.9
ORD-100055,2021-01-04,Backpack Urban,Accessories,South,2,35.7,0.15,2.82,71.4,0,0.9
ORD-100056,2021-01-04,Yoga Mat Pro,Sports & Fitness,South,2,24.99,0.0,11.81,49.98,0,0.9
ORD-100049,2021-01-04,Phone Case Armor,Electronics,East,1,12.99,0.0,28.9,12.99,0,0.9
ORD-100047,2021-01-04,Wireless Earbuds Pro,Electronics,Central,1,39.99,0.0,20.35,39.99,0,0.9
ORD-100044,2021-01-04,Sunglasses UV400,Accessories,South,3,14.39,0.2,11.36,43.17,0,0.9
ORD-100054,2021-01-04,Running Shoes Flex,Sports & Fitness,North,1,59.99,0.0,6.78,59.99,0,0.9
ORD-100043,2021-01-04,Leather Wallet Classic,Accessories,East,4,20.25,0.1,24.26,81.0,0,0.9
ORD-100053,2021-01-04,Insulated Steel Bottle,Home & Kitchen,Central,4,17.99,0.1,11.78,71.96,0,0.9
ORD-100046,2021-01-04,Aroma Diffuser Mini,Home & Kitchen,East,1,29.99,0.0,7.15,29.99,0,0.9
ORD-100052,2021-01-04,Sunglasses UV400,Accessories,Central,5,15.29,0.15,17.13,76.45,0,0.9
ORD-100045,2021-01-04,Bluetooth Speaker XS,Electronics,North,3,45.0,0.0,8.97,135.0,0,0.9
ORD-100050,2021-01-04,Aroma Diffuser Mini,Home & Kitchen,West,3,28.49,0.05,1.74,85.47,0,0.9
ORD-100058,2021-01-04,Backpack Urban,Accessories,Central,2,37.8,0.1,34.68,75.6,0,0.9
ORD-100057,2021-01-04,Wireless Earbuds Pro,Electronics,Central,1,39.99,0.0,28.36,39.99,0,0.9
ORD-100051,2021-01-04,Phone Case Armor,Electronics,West,5,12.99,0.0,35.34,64.95,0,0.9
ORD-100061,2021-01-05,Sunglasses UV400,Accessories,South,2,17.99,0.0,11.46,35.98,0,0.9
ORD-100065,2021-01-05,Insulated Steel Bottle,Home & Kitchen,South,4,19.99,0.0,38.78,79.96,0,0.9
ORD-100059,2021-01-05,Aroma Diffuser Mini,Home & Kitchen,West,5,29.99,0.0,2.84,149.95,0,0.9
ORD-100066,2021-01-05,Insulated Steel Bottle,Home & Kitchen,South,1,19.99,0.0,17.34,19.99,0,0.9
ORD-100064,2021-01-05,Phone Case Armor,Electronics,West,5,12.99,0.0,33.68,64.95,0,0.9
ORD-100062,2021-01-05,Backpack Urban,Accessories,East,1,42.0,0.0,32.9,42.0,0,0.9
ORD-100063,2021-01-05,Phone Case Armor,Electronics,West,5,12.99,0.0,30.8,64.95,0,0.9
ORD-100060,2021-01-05,Insulated Steel Bottle,Home & Kitchen,East,4,19.99,0.0,17.54,79.96,0,0.9
ORD-100069,2021-01-06,Leather Wallet Classic,Accessories,Central,5,22.5,0.0,38.19,112.5,0,0.9
ORD-100071,2021-01-06,Ceramic Knife Set,Home & Kitchen,North,1,34.99,0.0,3.67,34.99,0,0.9
ORD-100068,2021-01-06,Wireless Earbuds Pro,Electronics,North,2,39.99,0.0,3.75,79.98,0,0.9
ORD-100070,2021-01-06,Yoga Mat Pro,Sports & Fitness,East,5,24.99,0.0,9.91,124.95,0,0.9
ORD-100073,2021-01-06,Running Shoes Flex,Sports & Fitness,South,4,59.99,0.0,17.35,239.96,0,0.9
ORD-100067,2021-01-06,Ceramic Knife Set,Home & Kitchen,South,1,34.99,0.0,2.33,34.99,0,0.9
ORD-100072,2021-01-06,Aroma Diffuser Mini,Home & Kitchen,Central,5,29.99,0.0,3.91,149.95,0,0.9
ORD-100080,2021-01-07,Insulated Steel Bottle,Home & Kitchen,Central,2,19.99,0.0,2.85,39.98,0,0.9
ORD-100078,2021-01-07,LED Desk Lamp,Electronics,South,5,27.5,0.0,32.82,137.5,0,0.9
ORD-100082,2021-01-07,Running Shoes Flex,Sports & Fitness,East,4,59.99,0.0,13.93,239.96,0,0.9
ORD-100085,2021-01-07,Insulated Steel Bottle,Home & Kitchen,Central,4,19.99,0.0,31.06,79.96,0,0.9
ORD-100076,2021-01-07,Wireless Earbuds Pro,Electronics,West,4,39.99,0.0,37.61,159.96,0,0.9
ORD-100079,2021-01-07,LED Desk Lamp,Electronics,South,4,27.5,0.0,8.58,110.0,0,0.9
ORD-100088,2021-01-07,Yoga Mat Pro,Sports & Fitness,West,5,22.49,0.1,15.57,112.45,0,0.9
ORD-100075,2021-01-07,Wireless Earbuds Pro,Electronics,South,5,39.99,0.0,24.63,199.95,0,0.9
ORD-100087,2021-01-07,Sunglasses UV400,Accessories,North,1,17.99,0.0,19.86,17.99,0,0.9
ORD-100077,2021-01-07,Bluetooth Speaker XS,Electronics,East,3,45.0,0.0,18.33,135.0,0,0.9
ORD-100083,2021-01-07,Leather Wallet Classic,Accessories,West,4,22.5,0.0,38.7,90.0,0,0.9
ORD-100084,2021-01-07,Backpack Urban,Accessories,North,5,39.9,0.05,32.27,199.5,0,0.9
ORD-100081,2021-01-07,Backpack Urban,Accessories,North,2,42.0,0.0,32.58,84.0,0,0.9
ORD-100074,2021-01-07,Bluetooth Speaker XS,Electronics,South,4,45.0,0.0,25.03,180.0,0,0.9
ORD-100086,2021-01-07,Phone Case Armor,Electronics,East,1,12.99,0.0,29.6,12.99,0,0.9
ORD-100097,2021-01-08,Aroma Diffuser Mini,Home & Kitchen,Central,4,29.99,0.0,3.34,119.96,0,0.9
ORD-100099,2021-01-08,Bluetooth Speaker XS,Electronics,Central,4,45.0,0.0,29.64,180.0,0,0.9
ORD-100102,2021-01-08,Yoga Mat Pro,Sports & Fitness,Central,2,24.99,0.0,38.8,49.98,0,0.9
ORD-100096,2021-01-08,Leather Wallet Classic,Accessories,North,5,22.5,0.0,32.51,112.5,0,0.9
ORD-100094,2021-01-08,Yoga Mat Pro,Sports & Fitness,East,5,24.99,0.0,15.87,124.95,0,0.9
ORD-100098,2021-01-08,Phone Case Armor,Electronics,East,3,12.99,0.0,13.21,38.97,0,0.9
ORD-100101,2021-01-08,Phone Case Armor,Electronics,Central,1,12.99,0.0,21.13,12.99,0,0.9
ORD-100104,2021-01-08,Insulated Steel Bottle,Home & Kitchen,North,4,19.99,0.0,6.65,79.96,0,0.9
