date,product,units,price,discount,marketing_spend,region,returned
2021-01-02,Mechanical Keyboard RGB,19.0,129.5,0.0,211.76,Asia Pacific,0
2021-01-02,Smart Fitness Watch,12.0,145.27,0.1,436.27,Europe,0
2021-01-02,Insulated Steel Bottle,11.0,30.47,0.1,154.67,Asia Pacific,0
2021-01-03,Ceramic Knife Set,2.0,87.87,0.0,101.98,Latin America,0
2021-01-04,Insulated Steel Bottle,15.0,26.94,0.0,196.75,Latin America,0
2021-01-05,Bluetooth Speaker XS,12.0,78.49,0.0,149.2,Europe,0
2021-01-06,Mechanical Keyboard RGB,12.0,128.11,0.1,466.38,Asia Pacific,0
2021-01-10,Wireless Earbuds Pro,9.0,200.61,0.1,440.58,Europe,0
2021-01-10,Wireless Earbuds Pro,21.0,198.37,0.15,274.86,North America,0
2021-01-11,Ceramic Knife Set,24.0,91.04,0.05,77.6,North America,0
2021-01-11,Bluetooth Speaker XS,2.0,79.5,0.0,371.55,North America,0
2021-01-12,Smart Fitness Watch,22.0,150.34,0.0,330.54,Asia Pacific,0
2021-01-12,Aroma Diffuser Mini,3.0,49.0,0.1,486.75,North America,1
2021-01-14,Bluetooth Speaker XS,12.0,80.91,0.0,301.53,Europe,0
2021-01-14,Wireless Earbuds Pro,16.0,197.27,0.0,201.38,Asia Pacific,0
2021-01-16,Wireless Earbuds Pro,21.0,199.17,0.0,283.56,Europe,0
2021-01-17,Smart Fitness Watch,24.0,148.41,0.0,490.67,Latin America,0
2021-01-20,Mechanical Keyboard RGB,1.0,131.09,0.0,363.36,Asia Pacific,0
2021-01-21,Bluetooth Speaker XS,21.0,81.25,0.0,352.39,Europe,0
2021-01-22,Bluetooth Speaker XS,3.0,79.0,0.0,158.31,Europe,0
2021-01-22,Wireless Earbuds Pro,20.0,197.06,0.0,384.62,Asia Pacific,0
2021-01-22,Aroma Diffuser Mini,2.0,49.64,0.1,387.62,Latin America,0
2021-01-25,Ceramic Knife Set,9.0,86.5,0.1,192.78,Asia Pacific,0
2021-01-25,Ergonomic Desk Chair,19.0,251.44,0.0,267.67,North America,0
2021-01-28,Ceramic Knife Set,15.0,88.29,0.1,182.57,North America,0
2021-01-28,Bluetooth Speaker XS,18.0,78.95,0.0,166.42,Latin America,0
2021-01-29,Ceramic Knife Set,11.0,87.98,0.05,61.65,Europe,0
2021-01-29,Wireless Earbuds Pro,,197.65,0.15,178.35,Europe,0
2021-01-29,Wireless Earbuds Pro,16.0,200.11,0.1,299.29,Europe,0
2021-02-04,Smart Fitness Watch,,148.76,0.1,50.72,Asia Pacific,0
2021-02-04,Bluetooth Speaker XS,17.0,79.06,0.0,177.45,Asia Pacific,0
2021-02-05,Smart Fitness Watch,5.0,147.49,0.0,446.63,Latin America,0
2021-02-06,Bluetooth Speaker XS,12.0,80.28,0.15,317.14,North America,0
2021-02-06,Ergonomic Desk Chair,11.0,250.44,0.0,323.54,Europe,0
2021-02-07,Ergonomic Desk Chair,15.0,248.69,0.0,231.51,North America,0
2021-02-08,Mechanical Keyboard RGB,3.0,130.9,0.1,354.41,Asia Pacific,0
2021-02-08,Bluetooth Speaker XS,1.0,78.84,0.1,135.47,Asia Pacific,0
2021-02-08,Aroma Diffuser Mini,20.0,50.17,0.15,418.44,Asia Pacific,0
2021-02-09,Ceramic Knife Set,16.0,86.57,0.0,102.51,North America,0
2021-02-10,Bluetooth Speaker XS,2.0,79.53,0.15,345.2,Latin America,0
2021-02-10,Insulated Steel Bottle,2.0,28.59,0.0,203.52,Latin America,0
2021-02-12,Mechanical Keyboard RGB,3.0,129.23,0.0,386.38,Asia Pacific,0
2021-02-16,Insulated Steel Bottle,8.0,29.17,0.05,297.39,Europe,0
2021-02-16,Wireless Earbuds Pro,24.0,199.19,0.0,253.56,North America,0
2021-02-17,Ergonomic Desk Chair,15.0,249.92,0.0,126.24,Asia Pacific,1
2021-02-20,Ceramic Knife Set,7.0,88.15,0.05,336.57,North America,0
2021-02-20,Bluetooth Speaker XS,6.0,79.85,0.0,488.65,North America,0
2021-02-20,Insulated Steel Bottle,9.0,30.85,0.0,421.52,Latin America,0
2021-02-23,Ceramic Knife Set,20.0,86.88,0.0,77.0,Asia Pacific,0
2021-02-24,Wireless Earbuds Pro,1.0,197.83,0.0,219.3,Latin America,0
2021-02-24,Ergonomic Desk Chair,8.0,247.89,0.0,466.51,Asia Pacific,0
2021-02-24,Aroma Diffuser Mini,23.0,47.36,0.1,276.37,North America,0
2021-02-25,Mechanical Keyboard RGB,23.0,128.29,0.1,347.95,Latin America,0
2021-03-02,Ceramic Knife Set,3.0,90.55,0.0,460.67,North America,0
2021-03-02,Ceramic Knife Set,4.0,91.17,0.1,443.21,Asia Pacific,0
2021-03-04,Aroma Diffuser Mini,15.0,49.16,0.0,275.82,Europe,0
2021-03-04,Ceramic Knife Set,6.0,88.51,0.0,246.94,Latin America,0
2021-03-06,Wireless Earbuds Pro,15.0,200.2,0.1,202.86,Latin America,0
2021-03-08,Wireless Earbuds Pro,21.0,195.45,0.0,373.56,North America,0
2021-03-10,Aroma Diffuser Mini,3.0,47.42,0.2,179.14,North America,0
2021-03-13,Mechanical Keyboard RGB,21.0,125.52,0.0,162.45,Europe,0
2021-03-16,Bluetooth Speaker XS,21.0,77.4,0.1,210.31,Latin America,0
2021-03-16,Insulated Steel Bottle,14.0,27.85,0.0,129.75,Asia Pacific,0
2021-03-17,Bluetooth Speaker XS,20.0,81.22,0.0,362.8,Asia Pacific,0
2021-03-19,Ceramic Knife Set,14.0,84.86,0.0,327.31,Latin America,0
2021-03-21,Insulated Steel Bottle,4.0,28.37,0.1,267.3,Latin America,0
2021-03-23,Smart Fitness Watch,12.0,149.93,0.05,225.65,Latin America,0
2021-03-24,Aroma Diffuser Mini,17.0,49.62,0.15,459.08,Europe,0
2021-03-25,Aroma Diffuser Mini,7.0,51.19,0.0,63.11,Asia Pacific,0
2021-03-31,Mechanical Keyboard RGB,,129.24,0.0,396.1,Asia Pacific,1
2021-03-31,Insulated Steel Bottle,3.0,29.56,0.0,455.86,North America,0
2021-03-31,Wireless Earbuds Pro,13.0,196.24,0.05,250.86,North America,0
2021-04-01,Insulated Steel Bottle,15.0,27.52,0.15,297.81,Latin America,0
2021-04-03,Ceramic Knife Set,18.0,86.33,0.0,475.01,North America,0
2021-04-05,Wireless Earbuds Pro,19.0,199.86,0.05,145.52,Europe,0
2021-04-06,Ergonomic Desk Chair,1.0,249.52,0.0,284.06,Asia Pacific,0
2021-04-08,Ergonomic Desk Chair,6.0,249.47,0.05,263.62,Asia Pacific,0
2021-04-09,Smart Fitness Watch,23.0,147.68,0.15,166.28,North America,1
2021-04-12,Ergonomic Desk Chair,2.0,247.54,0.0,418.37,Latin America,0
2021-04-12,Aroma Diffuser Mini,24.0,49.31,0.0,454.82,North America,0
2021-04-14,Insulated Steel Bottle,14.0,28.0,0.2,401.87,Latin America,0
2021-04-16,Ergonomic Desk Chair,6.0,247.47,0.15,137.91,Europe,0
2021-04-17,Bluetooth Speaker XS,14.0,78.24,0.05,89.04,Asia Pacific,0
2021-04-18,Mechanical Keyboard RGB,4.0,128.01,0.05,322.45,Europe,0
2021-04-21,Bluetooth Speaker XS,21.0,77.7,0.0,75.69,Asia Pacific,0
